domain,title,brand,url,items,rev,cat
decathlon.com,Itiwit Inflatable Recreational Sit-on Kayak with Pump 2 Person,other,decathlon.com/products/itiwit-inflatable-recreational-sit-on-kayak-with-pump-2-person,9466.0,1419149.5300000003,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Boating & Rafting > Kayaks
decathlon.com,Quechua MH100 20 L Hiking Backpack,quechua,decathlon.com/products/quechua-mh100-20-l-hiking-backpack-355266,18285.0,730738.8799999999,
decathlon.com,Quechua MH100 20L Hiking Backpack,quechua,decathlon.com/products/quechua-mh100-20l-hiking-backpack-355266,18285.0,730738.8799999999,
decathlon.com,Forclaz Men's MT100 Hooded Down Puffer Jacket,other,decathlon.com/products/forclaz-mt100-hooded-down-puffer-jacket-167571,5244.0,440951.83,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
decathlon.com,Van Rysel RCR Force AXS Power Road Bike,other,decathlon.com/products/van-rysel-rcr-force-axs-power-road-bike-350280,42.0,288439.72,
decathlon.com,Triban GRVL 900 Ti Gravel Bike with Titanium Frame,other,decathlon.com/products/mens-gravel-bike-with-titanium-frame-grvl-900-325632,36.0,141261.46,
decathlon.com,RC520 Road Bike,other,decathlon.com/products/road-bike-disc-105-rc-520,126.0,123511.06999999996,
decathlon.com,Forclaz Women's MT100 Hooded Down Puffer Jacket,other,decathlon.com/products/forclaz-trek-100-23-f-down-packable-puffer-backpacking-jacket-167572,1335.0,113504.51000000001,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
decathlon.com,Triban RC120 Disc Brake Aluminum Road Bike,other,decathlon.com/products/rc-120-disc-326838,150.0,73444.95000000003,Sporting Goods > Outdoor Recreation > Cycling > Bicycles
decathlon.com,Itiwit Inflatable Recreational Touring Kayak 2 or 3 Person,other,decathlon.com/products/itiwit-inflatable-recreational-touring-sit-on-top-kayak-1-to-3-person-507lb-335195,287.0,56518.70999999999,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Boating & Rafting > Kayaks
decathlon.com,Itiwit Adult X500 Drop stitch High Pressure Adventure 2 Person Inflatable Kayak,other,decathlon.com/products/itiwit-x500-inflatable-dropstich-high-pressure-adventure-kayak-2-person-550lb-335206,30.0,52956.850000000006,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Boating & Rafting > Kayaks
decathlon.com,110lb Adjustable Weight Set US Standard with Barbell and dumbbells,corength,decathlon.com/products/110lb-adjustable-weight-set-us-standard-with-barbell-and-dumbbells-u342099,532.0,51873.62,
decathlon.com,Forclaz Men's MT100 Easyfit 70 L Backpacking Backpack,other,decathlon.com/products/mens-mountain-backpacking-rucksack-70-l-trek-100-easyfit-309851,444.0,51844.170000000006,
decathlon.com,Triban GRVL 520 Subcompact Gravel Bike,other,decathlon.com/products/triban-triban-grvl-520-subcompact-gravel-bike-326904,48.0,50819.75,
decathlon.com,Forclaz Men's MT500 Hooded Down Puffer Jacket,other,decathlon.com/products/forclaz-mens-mt500-hooded-down-puffer-jacket-331151,310.0,45615.360000000015,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
